Speaker_1	Speaker_2	Personality	Utterance_1	Utterance_2	Utterance_3	Emotion_1	Emotion_2	Emotion_3	Sentiment_1	Sentiment_2	Sentiment_3
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Hey!	Uh, listen, I need that broiling pan that Joey borrowed the other day.	Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.	neutral	neutral	sadness	neutral	neutral	negative
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Uh, listen, I need that broiling pan that Joey borrowed the other day.	Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.	William Sonoma	neutral	sadness	neutral	neutral	negative	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh that was yours? Uh, yeah, we used it when the duck was throwing up caterpillars.	William Sonoma	Expect it in 4-6 weeks.	sadness	neutral	neutral	negative	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Umm, hey, umm, Joey's gonna be at the telethon for the rest of the day, we have the whole place to ourselves.	Yeah, so?	Well I just, thought maybe you'd wanna book some time with the best you'd ever had.	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Yeah, so?	Well I just, thought maybe you'd wanna book some time with the best you'd ever had.	Y'know what, champ? I think I'll pass.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Well I just, thought maybe you'd wanna book some time with the best you'd ever had.	Y'know what, champ? I think I'll pass.	Why?	neutral	neutral	surprise	neutral	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Y'know what, champ? I think I'll pass.	Why?	Why?	neutral	surprise	neutral	neutral	positive	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Why?	Why?	What's your point?	surprise	neutral	neutral	positive	neutral	neutral
Joey	Man	[0.574, 0.614, 0.297, 0.545, 0.455]	So uh, what s your name?	It's Jake.	Joey.  Hey Jake, do you like the Knicks?	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Jake	[0.574, 0.614, 0.297, 0.545, 0.455]	Joey.  Hey Jake, do you like the Knicks?	Yeah, big fan.	Me too! There s a game on Tuesday, do you wanna go?	neutral	neutral	joy	neutral	neutral	positive
Ross	Carol	[0.722, 0.489, 0.6, 0.533, 0.356]	Hi! Sorry I m late. Were you sleeping?	Ahh, nooo!!	Oh, great!	neutral	joy	joy	neutral	positive	positive
Ross	Carol	[0.722, 0.489, 0.6, 0.533, 0.356]	I got you the best one I could,  cause that s not where you want to skimp.	You re a genius, Ross.	Yeah, well it came to about $112, but what the hell, just call it an even 110?	neutral	joy	neutral	neutral	positive	neutral
Ross	Carol	[0.722, 0.489, 0.6, 0.533, 0.356]	Yeah, well it came to about $112, but what the hell, just call it an even 110?	Okay, I ll pay you tomorrow.	So they ah, they all took off, it was pretty hard watching them go, y'know?	neutral	neutral	sadness	neutral	neutral	negative
Ross	Carol	[0.722, 0.489, 0.6, 0.533, 0.356]	So they ah, they all took off, it was pretty hard watching them go, y'know?	Yeah, okay, bye.	So I m gonna take off then!	sadness	neutral	neutral	negative	neutral	neutral
Rachel	Danny	[0.635, 0.354, 0.521, 0.552, 0.469]	Hey! Oh right, tonight was your party.	Oh wow, you look great! Glad you could make it.	Oh well, y'know, the gala had to end sometime.	surprise	joy	neutral	positive	positive	neutral
Rachel	Danny	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh well, y'know, the gala had to end sometime.	Don't go anywhere, I'll be right back.	Yeah, sure.  All right, whose court is the ball in now?	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah, sure.  All right, whose court is the ball in now?	I thought there wasn't a ball?	Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Danny	[0.635, 0.354, 0.521, 0.552, 0.469]	Oh, come on! He's glad that I came, he doesn't want me to go anywhere, balls flying all over the place!	Rachel, this is my friend Tom.	Oh, go on! You telling people about me?	neutral	neutral	surprise	neutral	neutral	positive
Rachel	Tom	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah, okay, at ease solider!	I'm sorry?	No, it's all right, you can just drop the act Tommy.	neutral	surprise	neutral	neutral	positive	neutral
Rachel	Tom	[0.635, 0.354, 0.521, 0.552, 0.469]	No, it's all right, you can just drop the act Tommy.	I'm gonna go talk to uh, a friend.	"Yeah, yeah, you go talk to your friend. You tell him, ""Nice try."""	neutral	sadness	disgust	neutral	negative	negative
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Man! He just keeps lobbing them up and I just keep knocking them right out of the park!	I think I need a drink.	Yeah!	joy	neutral	joy	positive	neutral	positive
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	You really think I'm ready?	Uh-huh!	Wow! Cool!	surprise	joy	joy	positive	positive	positive
Chandler	Jill	[0.648, 0.375, 0.386, 0.58, 0.477]	Yes. Yes, thanks for letting me use your phone... and for saving my life.	Well, goodbye Chandler. I had a great blackout.  See ya.	Hi, um, I'm account number 7143457.	joy	neutral	neutral	positive	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	But ah, hey, oh, somebody s off the phone, how  bout a glass of wine by the fire, I could get it going again.	Ross you re not listening to me, I don t have time to stop.	Come on Rach, you don t have what, ten minutes?	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Ross you re not listening to me, I don t have time to stop.	Come on Rach, you don t have what, ten minutes?	I don t have ten minutes!!	neutral	neutral	anger	neutral	neutral	negative
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Come on Rach, you don t have what, ten minutes?	I don t have ten minutes!!	What?  Sophie, does she have ten minutes?	neutral	anger	neutral	neutral	negative	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	I don t have ten minutes!!	What?  Sophie, does she have ten minutes?	Hey, Ross!!! I told you I don t!	anger	neutral	anger	negative	neutral	negative
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	What?  Sophie, does she have ten minutes?	Hey, Ross!!! I told you I don t!	Don t yell at me okay, this is the most I ve seen you all week.	neutral	anger	sadness	neutral	negative	negative
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Hey, Ross!!! I told you I don t!	Don t yell at me okay, this is the most I ve seen you all week.	Look, I cannot do this right now, okay, I ve got a deadline, would you just go home, I ll talk to you later.	anger	sadness	neutral	negative	negative	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Don t yell at me okay, this is the most I ve seen you all week.	Look, I cannot do this right now, okay, I ve got a deadline, would you just go home, I ll talk to you later.	Yeah, but wait...	sadness	neutral	neutral	negative	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Look, I cannot do this right now, okay, I ve got a deadline, would you just go home, I ll talk to you later.	Yeah, but wait...	Good bye!	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	When we're 40, if neither one of us are married, what do you say you and I get together and have one?	Why won't I be married when I'm 40?	Oh, no, no. I just meant hypothetically.	neutral	surprise	neutral	neutral	positive	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Why won't I be married when I'm 40?	Oh, no, no. I just meant hypothetically.	Ok, hypothetically, why won't I be married when I'm 40?	surprise	neutral	anger	positive	neutral	negative
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh, no, no. I just meant hypothetically.	Ok, hypothetically, why won't I be married when I'm 40?	No, no, no.	neutral	anger	neutral	neutral	negative	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Ok, hypothetically, why won't I be married when I'm 40?	No, no, no.	What is it? Is there something fundamentally unmarriable about me?	anger	neutral	anger	negative	neutral	negative
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	No, no, no.	What is it? Is there something fundamentally unmarriable about me?	Uh, uh.	neutral	anger	neutral	neutral	negative	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	What is it? Is there something fundamentally unmarriable about me?	Uh, uh.	Well?	anger	neutral	surprise	negative	neutral	positive
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Uh, uh.	Well?	Dear God! This parachute is a knapsack!	neutral	surprise	surprise	neutral	positive	positive
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	Did you go home and change?	Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr. Franzblau been by?	No, I haven't seen him.	surprise	neutral	neutral	positive	neutral	neutral
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah, well, it's an important day. I wanna look nice. Um, has uh Dr. Franzblau been by?	No, I haven't seen him.	Well, where is he? He is supposed to be here.  What if the baby needs him?	neutral	neutral	surprise	neutral	neutral	positive
Rachel	Chandler	[0.635, 0.354, 0.521, 0.552, 0.469]	Well, where is he? He is supposed to be here.  What if the baby needs him?	Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?	Yeah, why?	surprise	neutral	neutral	positive	neutral	neutral
Chandler	Rachel	[0.648, 0.375, 0.386, 0.58, 0.477]	Rachel, what is the deal with you and doctors, anyway? Was, like, your father a doctor?	Yeah, why?	No reason.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	You mean they like you.	Maybe.	Is that why you became a chef? So that people would like you?	neutral	neutral	surprise	neutral	neutral	positive
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	Maybe.	Is that why you became a chef? So that people would like you?	Oh, you really want to talk about getting people to like you huh, funny man?	neutral	surprise	anger	neutral	positive	negative
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	We were on the platform, ready to dance the world into the new Millennium, and the guy yelled  CUT! 	Uh, wait, so you guys are telling me you actually did the routine from eighth grade?	Yeah. But of course we had to update it a little bit.  Hey, by the way, great thinking about catching me!	anger	surprise	joy	negative	positive	positive
Rachel	Monica	[0.635, 0.354, 0.521, 0.552, 0.469]	Uh, wait, so you guys are telling me you actually did the routine from eighth grade?	Yeah. But of course we had to update it a little bit.  Hey, by the way, great thinking about catching me!	 Cos I was gonna say there s no way you could ve done the end the way you guys did it back then!	surprise	joy	joy	positive	positive	positive
Monica	Rachel	[0.713, 0.457, 0.457, 0.66, 0.511]	Yeah. But of course we had to update it a little bit.  Hey, by the way, great thinking about catching me!	 Cos I was gonna say there s no way you could ve done the end the way you guys did it back then!	What? We could do it!	joy	joy	surprise	positive	positive	positive
Monica	Ross	[0.713, 0.457, 0.457, 0.66, 0.511]	What? We could do it!	I don t know, I mean you were a lot bigger, I mean, stronger back then.	I can do it, okay? Come on, let s go.	surprise	joy	neutral	positive	positive	neutral
Monica	Monica and Ross	[0.713, 0.457, 0.457, 0.66, 0.511]	I can do it, okay? Come on, let s go.	1, 2, 3, 4, 5, 6, 7, 8	I can t do it!	neutral	neutral	sadness	neutral	neutral	negative
Joey	The Vendor	[0.574, 0.614, 0.297, 0.545, 0.455]	Hey!	So, what are you guys in the market for? We ve got uh, scarves, tulip post cards...	Check this out? Huh?  Yeah. That s the stuff. What do you think?	joy	neutral	neutral	positive	neutral	neutral
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Check this out? Huh?  Yeah. That s the stuff. What do you think?	"Well, I don t have to buy that, ""I m with stupid"" T-shirt anymore."	Well, I like it. Here you go.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	"Well, I don t have to buy that, ""I m with stupid"" T-shirt anymore."	Well, I like it. Here you go.	All right, look, you re not really gonna buy that are you? Don t you think you ve embarrassed me enough for one day?	neutral	neutral	anger	neutral	neutral	negative
Joey	Chandler	[0.574, 0.614, 0.297, 0.545, 0.455]	Well, I like it. Here you go.	All right, look, you re not really gonna buy that are you? Don t you think you ve embarrassed me enough for one day?	Oh, I embarrass you?	neutral	anger	surprise	neutral	negative	positive
Chandler	Joey	[0.648, 0.375, 0.386, 0.58, 0.477]	All right, look, you re not really gonna buy that are you? Don t you think you ve embarrassed me enough for one day?	Oh, I embarrass you?	How can I answer that when I m pretending I don t know you?	anger	surprise	neutral	negative	positive	neutral
Chandler	The Vendor	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh really? Then how come no one here is wearing them?	They re all tourists.	All right, look, if you insist on wearing that, in public, y know, you re gonna spend the rest of the afternoon all by yourself.	neutral	neutral	disgust	neutral	neutral	negative
Joey	The Vendor	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh yeah?  If you re gonna make me choose between you and the hat? I choose the hat.	Good choice.	Thanks.	neutral	anger	joy	neutral	negative	positive
Monica	Julio	[0.713, 0.457, 0.457, 0.66, 0.511]	So! I'm just an empty vase, huh?	What?	Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else.	surprise	surprise	anger	positive	positive	negative
Monica	Julio	[0.713, 0.457, 0.457, 0.66, 0.511]	And y'know what, I get excited about stupid stuff, like when I my	Whoa, whoa, whoa.	You don't even know me...	neutral	surprise	anger	neutral	positive	negative
Monica	Julio	[0.713, 0.457, 0.457, 0.66, 0.511]	You don't even know me...	Whoa, whoa, whoa, the poem is not about you.	What?	anger	surprise	surprise	negative	positive	positive
Monica	Julio	[0.713, 0.457, 0.457, 0.66, 0.511]	What?	The Empty Vase is not about you. My baby, you make me so sad that you would think this.	I'm sorry, my friend Phoebe...	surprise	sadness	sadness	positive	negative	negative
Monica	Julio	[0.713, 0.457, 0.457, 0.66, 0.511]	I'm sorry, my friend Phoebe...	No, it's about all women. Well, all American women. You feel better now?	Oh yeah.	sadness	neutral	neutral	negative	neutral	neutral
Ross	Janine	[0.722, 0.489, 0.6, 0.533, 0.356]	So theoretically we could download our thoughts and our memories into this computer...	...and live forever as a machine!	That's so Janine, you-you-you know what, do you know we're doing right now?	neutral	joy	joy	neutral	positive	positive
Monica	David	[0.713, 0.457, 0.457, 0.66, 0.511]	David, can you help me?! I'm trying to explain to Chandler how a plane stays in the air.	Oh, certainly. That's a combination of Bernoulli's principle and Newton's third law of motion.	See?	neutral	neutral	neutral	neutral	neutral	neutral
Monica	Chandler	[0.713, 0.457, 0.457, 0.66, 0.511]	See?	"Yeah, that's the same as ""it has something to do with wind""."	Alright, I'm gonna go pick up a few things for the trip.	neutral	fear	neutral	neutral	negative	neutral
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	So now I have to go so he'll think that I'm totally ok with seeing him!	Which you're not, because you've totally hung up on him!	Exactly!	joy	anger	neutral	positive	negative	neutral
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	Which you're not, because you've totally hung up on him!	Exactly!	And you're gonna want him to eat his heart out so you're gonna have to look fabulous!	anger	neutral	neutral	negative	neutral	neutral
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	Exactly!	And you're gonna want him to eat his heart out so you're gonna have to look fabulous!	I didn't even think about that!  Aaargh,	neutral	neutral	anger	neutral	neutral	negative
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	And you're gonna want him to eat his heart out so you're gonna have to look fabulous!	I didn't even think about that!  Aaargh,	Hey Pheebs, I'm-I'm taking Charlie shopping, why don't you come and I'll help you find something.	neutral	anger	neutral	neutral	negative	neutral
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	I didn't even think about that!  Aaargh,	Hey Pheebs, I'm-I'm taking Charlie shopping, why don't you come and I'll help you find something.	Ok, that'll be great!	anger	neutral	joy	negative	neutral	positive
Joey	Rachel	[0.574, 0.614, 0.297, 0.545, 0.455]	Oh, ain't that nice? The three of you trying on slutty lingerie together.	That's not what we're gonna do!	Why would you ruin it, who was that hurtin'?	disgust	disgust	disgust	negative	negative	negative
Chandler	Julie	[0.648, 0.375, 0.386, 0.58, 0.477]	Julie hi! Chandler Bing, I, I guess you remember me.	Hello Skidmark.	It s a nickname, I ll explain later.	joy	neutral	neutral	positive	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	It s a nickname, I ll explain later.	It s pretty clear.	Ah, uh, I owe you a long overdue apology. I never should have broken up with you because you were overweight.	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Julie	[0.648, 0.375, 0.386, 0.58, 0.477]	Ah, uh, I owe you a long overdue apology. I never should have broken up with you because you were overweight.	That s why you broke up with me?	You-you-you didn t know that.  Well, I guess my work here is done!	neutral	surprise	sadness	neutral	positive	negative
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Well, I was going to, but after I talked to you, I talked to Joey.	What did, what did he say?	Basically he told me to get over myself and just do it, ya know.	neutral	fear	neutral	neutral	negative	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	We couldn t keep our eyes off each other all night and then every once and a while y know, he d kinda lean over and stroke my hair and touch my neck.	Okay, stop it Phoebe, you re getting me all tingly.	"All I could think of was y know, ""Is he gonna kiss me? Is he gonna kiss me?"""	joy	joy	joy	positive	positive	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Okay, stop it Phoebe, you re getting me all tingly.	"All I could think of was y know, ""Is he gonna kiss me? Is he gonna kiss me?"""	And did he?	joy	joy	neutral	positive	positive	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	"All I could think of was y know, ""Is he gonna kiss me? Is he gonna kiss me?"""	And did he?	I m a lady Monica, I don t kiss and tell. But this hickey speaks for itself.	joy	neutral	joy	positive	neutral	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	And did he?	I m a lady Monica, I don t kiss and tell. But this hickey speaks for itself.	Okay-okay, I got it. I got it.	neutral	joy	neutral	neutral	positive	neutral
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	I m a lady Monica, I don t kiss and tell. But this hickey speaks for itself.	Okay-okay, I got it. I got it.	I just like him so much that I just feel like I ve had 10 drinks today and I ve only had six.	joy	neutral	joy	positive	neutral	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Okay-okay, I got it. I got it.	I just like him so much that I just feel like I ve had 10 drinks today and I ve only had six.	Oh, I haven t had that feeling since I first started going out with Chandler.	neutral	joy	joy	neutral	positive	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Wow, I m never gonna have that feeling again, am I?	You sound like a guy.	"No, a guy would be saying, ""I m never gonna get to sleep with anyone else."""	sadness	disgust	disgust	negative	negative	negative
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	You re gonna have to tell me how you did that.	Focus.	Okay. Um But Okay, yes Ross and I used to date. And yes we are gonna have a baby. But we are	neutral	neutral	neutral	neutral	neutral	neutral
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	All right where s that turkey!	Joey! Those are my maternity pants!	Not now! These are my Thanksgiving pants!	neutral	surprise	joy	neutral	positive	positive
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	I just knocked off all of your top scores, how sad.	Okay, I m next.  Don t! Don t start another game! I said I m next! Phoebe!	Oh, I m sorry. I didn t hear you over all the winning.	joy	anger	joy	positive	negative	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Okay, I m next.  Don t! Don t start another game! I said I m next! Phoebe!	Oh, I m sorry. I didn t hear you over all the winning.	Chandler! Phoebe s hogging the game!	anger	joy	anger	negative	positive	negative
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	Yeah. But I thought that was because I put the whole thing on my hand and made it walk across the table.	Anyway, it just doesn t seem worth it to make a whole turkey for just three people. Okay? It s a lot of work.	But you gotta have turkey on Thanksgiving!	neutral	neutral	joy	neutral	neutral	positive
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	Or Friday with no two pizzas!	All right fine! If it means that much to you! But just there s gonna be a ton left over.	No there won t! I promise I will finish that turkey!	sadness	sadness	joy	negative	negative	positive
Monica	Joey	[0.713, 0.457, 0.457, 0.66, 0.511]	All right fine! If it means that much to you! But just there s gonna be a ton left over.	No there won t! I promise I will finish that turkey!	All right, you re telling me you can eat an entire turkey in just one sitting?	sadness	joy	neutral	negative	positive	neutral
Joey	Monica	[0.574, 0.614, 0.297, 0.545, 0.455]	No there won t! I promise I will finish that turkey!	All right, you re telling me you can eat an entire turkey in just one sitting?	That s right!	joy	neutral	joy	positive	neutral	positive
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	Wow! It's huge! It's so much bigger than the cubicle. Oh, this is a cube.	Look at this!	Oh! You have a window!	surprise	joy	surprise	positive	positive	positive
Chandler	Phoebe	[0.648, 0.375, 0.386, 0.58, 0.477]	Look at this!	Oh! You have a window!	Yes indeedy!  With a beautiful view of...	joy	surprise	joy	positive	positive	positive
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh! You have a window!	Yes indeedy!  With a beautiful view of...	Oh look! That guy's peeing!	surprise	joy	surprise	positive	positive	positive
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Okay. Let s use this brush.	Okay. This stuff?	Yeah.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Okay. This stuff?	Yeah.	All right.	neutral	neutral	neutral	neutral	neutral	neutral
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	Yeah.	All right.	Careful. Light. Okay, do you know how, just sweep it across the lid. Okay? Just sweep it.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Dr. Baldhara	[0.722, 0.489, 0.6, 0.533, 0.356]	Yes.	Does he, uh, fight with other animals?	No-no, he's, he's very docile.	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Dr. Baldhara	[0.722, 0.489, 0.6, 0.533, 0.356]	No-no, he's, he's very docile.	Even if he were... cornered?	Well I, I don't know. Why?	neutral	neutral	neutral	neutral	neutral	neutral
Ross	Dr. Baldhara	[0.722, 0.489, 0.6, 0.533, 0.356]	Well I, I don't know. Why?	Uh, how is he at handling small objects?	He can hold a banana, if that's whatcha mean...	neutral	neutral	neutral	neutral	neutral	neutral
Chandler	Janice	[0.648, 0.375, 0.386, 0.58, 0.477]	Yeah! yeah... The hard part is over!	That's not the hard part honey! The hard part is what comes    next, I mean aren't you worried about the results?	I haven't... I haven't even thought about the results yet...    I just assumed that everything was gonna be ok.	joy	fear	joy	positive	negative	positive
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	No, no! Give it to me!	You can't have it.	Give it to me!	anger	anger	anger	negative	negative	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	You can't have it.	Give it to me!	No	anger	anger	anger	negative	negative	negative
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	Give it to me!	No	I'll go in there.	anger	anger	anger	negative	negative	negative
Phoebe	Monica	[0.6, 0.48, 0.31, 0.46, 0.56]	No	I'll go in there.	Oh yeah.	anger	anger	anger	negative	negative	negative
Monica	Phoebe	[0.713, 0.457, 0.457, 0.66, 0.511]	I'll go in there.	Oh yeah.	Phoebe come here	anger	anger	neutral	negative	negative	neutral
Monica	Young Ethan	[0.713, 0.457, 0.457, 0.66, 0.511]	What we did was wrong. Oh god, I just had sex with somebody that wasn't alive during the Bicentennial.	I just had sex.	Ethan, focus. How could you not tell me?	disgust	neutral	surprise	negative	neutral	positive
Monica	Young Ethan	[0.713, 0.457, 0.457, 0.66, 0.511]	Ethan, focus. How could you not tell me?	Well, you never told me how old you were.	Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?	surprise	neutral	disgust	positive	neutral	negative
Monica	Young Ethan	[0.713, 0.457, 0.457, 0.66, 0.511]	Well, that's different. My lie didn't make one of us a felon in 48 states. What were you thinking?	I wasn't thinking. I was too busy fallin'...	Don't say it.	disgust	joy	fear	negative	positive	negative
Monica	Young Ethan	[0.713, 0.457, 0.457, 0.66, 0.511]	Don't say it.	...in love with you.	Really?	fear	joy	surprise	negative	positive	positive
Monica	Young Ethan	[0.713, 0.457, 0.457, 0.66, 0.511]	Really?	Sorry.	Well,fall out of it.	surprise	sadness	anger	positive	negative	negative
Rachel	Ross	[0.635, 0.354, 0.521, 0.552, 0.469]	That s right, still no baby!  Come on people! Please make some room!	Uh sweetie, maybe you d be more comfortable here?	You. Like you haven t done enough.	sadness	neutral	anger	negative	neutral	negative
Ross	Rachel	[0.722, 0.489, 0.6, 0.533, 0.356]	Uh sweetie, maybe you d be more comfortable here?	You. Like you haven t done enough.	Look, I-I know how miserable you are, I wish there was something I can do.	neutral	anger	neutral	neutral	negative	neutral
Rachel	Phoebe	[0.635, 0.354, 0.521, 0.552, 0.469]	God.  I have never been so uncomfortable in my entire life!	Oh I know, I ve been there. I remember toward the end	Oh Phoebe, that s a great story.	joy	neutral	neutral	positive	neutral	neutral
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	Oh-hey-hey-hey! There you are!	Umm, listen there's something I think you should know.	Oh, is this about you-you dating the nurse?	joy	neutral	surprise	positive	neutral	positive
Chandler	Monica	[0.648, 0.375, 0.386, 0.58, 0.477]	I mean, you and I we're just, y'know, we're nothing, we're goofin' around.	Umm, actually I was about to tell you that I was, I was going to get out of it, but hey, if we're just goofing around then uh, maybe I	Fine! Maybe I will too!	neutral	neutral	joy	neutral	neutral	positive
Joey	Phoebe	[0.574, 0.614, 0.297, 0.545, 0.455]	What s the matter, Pheebs?	She cancelled! My namesake cancelled on me!	What?!	neutral	anger	surprise	neutral	negative	positive
Phoebe	Joey	[0.6, 0.48, 0.31, 0.46, 0.56]	She cancelled! My namesake cancelled on me!	What?!	Yeah, she clamed she had to go out of town suddenly.	anger	surprise	sadness	negative	positive	negative
Phoebe	Rachel	[0.6, 0.48, 0.31, 0.46, 0.56]	She knows, and she won t tell me.	Aww Pheebs, that sucks!	Yeah, well, don t  Aww Pheebs, that sucks!  me yet.	sadness	sadness	sadness	negative	negative	negative
Phoebe	Chandler	[0.6, 0.48, 0.31, 0.46, 0.56]	Yeah, well, don t  Aww Pheebs, that sucks!  me yet.	Where ya going?	Well, she s out of town so, there s gotta be something in her house that tells me where my Father is.	sadness	neutral	neutral	negative	neutral	neutral
Phoebe	Ross	[0.6, 0.48, 0.31, 0.46, 0.56]	Well, she s out of town so, there s gotta be something in her house that tells me where my Father is.	Uh, Pheebs, some people call that breaking and entering.	Well, are any of those people here?!	neutral	fear	anger	neutral	negative	negative
Phoebe	Phoebe Sr.	[0.6, 0.48, 0.31, 0.46, 0.56]	Oh my God, so do I!	I knew it, wow!!	Wait-wait-wait, wait! Puppies. Cute or ugly?	surprise	surprise	neutral	positive	positive	neutral
Phoebe	Phoebe Sr.	[0.6, 0.48, 0.31, 0.46, 0.56]	Wait-wait-wait, wait! Puppies. Cute or ugly?	Ohh, so cute.	Uh-huh, well! But umm, still I m-I m mad at you.	neutral	joy	anger	neutral	positive	negative
Phoebe	Phoebe Sr.	[0.6, 0.48, 0.31, 0.46, 0.56]	Uh-huh, well! But umm, still I m-I m mad at you.	I know. I m mad at me too.	Well umm, do you wanna get something to eat? I m kinda hungry.	anger	anger	neutral	negative	negative	neutral
